Date	Cases
01/03/2014	0
02/03/2014	0
03/03/2014	0
04/03/2014	0
05/03/2014	0
06/03/2014	0
07/03/2014	0
08/03/2014	0
09/03/2014	0
10/03/2014	0
11/03/2014	0
12/03/2014	0
13/03/2014	0
14/03/2014	0
15/03/2014	0
16/03/2014	0
17/03/2014	0
18/03/2014	0
19/03/2014	0
20/03/2014	0
21/03/2014	0
22/03/2014	0
23/03/2014	0
24/03/2014	0
25/03/2014	86
26/03/2014	86
27/03/2014	117
31/03/2014	120
01/04/2014	130
02/04/2014	135
07/04/2014	169
10/04/2014	179
17/04/2014	224
21/04/2014	230
23/04/2014	242
30/04/2014	234
05/05/2014	244
14/05/2014	245
23/05/2014	270
27/05/2014	271
28/05/2014	309
02/06/2014	354
05/06/2014	438
10/06/2014	476
11/06/2014	508
18/06/2014	528
24/06/2014	599
02/07/2014	759
07/07/2014	779
08/07/2014	844
14/07/2014	888
16/07/2014	964
21/07/2014	1048
24/07/2014	1093
28/07/2014	1201
31/07/2014	1322
03/08/2014	1437
04/08/2014	1617
08/08/2014	1766
12/08/2014	1835
13/08/2014	1963
15/08/2014	2115
19/08/2014	2225
21/08/2014	2458
22/08/2014	2599
28/08/2014	3052
06/09/2014	3944
08/09/2014	4269
12/09/2014	4366
16/09/2014	4963
18/09/2014	5325
22/09/2014	5843
24/09/2014	6242
26/09/2014	6553
01/10/2014	7157
03/10/2014	7470
08/10/2014	8011
10/10/2014	8376
15/10/2014	8973
17/10/2014	9191
22/10/2014	9911
25/10/2014	10114
29/10/2014	13676
31/10/2014	13540
05/11/2014	13015
07/11/2014	13241
12/11/2014	14068
14/11/2014	14383
19/11/2014	15113
21/11/2014	15319
26/11/2014	15901
28/11/2014	16899
03/12/2014	17111
10/12/2014	17908
17/12/2014	18569
24/12/2014	19463
31/12/2014	20171
07/01/2015	20712
14/01/2015	21261
21/01/2015	21689
28/01/2015	22057
04/02/2015	22460
11/02/2015	22859
18/02/2015	23218
25/02/2015	23694
04/03/2015	23934
11/03/2015	24247
18/03/2015	24666
25/03/2015	24872
01/04/2015	25178
08/04/2015	25515
15/04/2015	25791
22/04/2015	26044
29/04/2015	26277
06/05/2015	26593
13/05/2015	26724
20/05/2015	26933
27/05/2015	27013
03/06/2015	27145
10/06/2015	27237
17/06/2015	27305
24/06/2015	27443
01/07/2015	27514
08/07/2015	27573
15/07/2015	27642
22/07/2015	27705
29/07/2015	27748
05/08/2015	27862
12/08/2015	27929
19/08/2015	27952
26/08/2015	28005
03/09/2015	28102
10/09/2015	28147
17/09/2015	28220
24/09/2015	28295
01/10/2015	28388
08/10/2015	28421
15/10/2015	28454
22/10/2015	28476
29/10/2015	28539
05/11/2015	28571
11/11/2015	28599
18/11/2015	28598
25/11/2015	28601
02/12/2015	28601
09/12/2015	28601
16/12/2015	28604
23/12/2015	28601
30/12/2015	28601
06/01/2016	28601
13/01/2016	28601
20/01/2016	28602
27/01/2016	28603
03/02/2016	28603
10/02/2016	28603
17/02/2016	28603
